date,s,ac,ac_m,s_1,ac_1,ac_m_1,var_s,var_ac,var_ac_m,ins,pl,hr,t
date,chim,chim,chim,chimt1,chimt1,chimt1,diffchim,diffchim,diffchim,meteo,meteo,meteo,meteo
42626.00,133.8,10.14,8.49,151.5,6.57,5.45,17.7,-3.57,-3.04,45.25,10.6,78.29,126
42633.00,151.5,6.57,5.45,178.3,6.57,4.85,26.8,0,-0.6,61.75,0.2,70.57,119.3
42640.00,178.3,6.57,4.85,196.5,5.88,4.16,18.2,-0.69,-0.69,48.25,12,79,107.15
42647.00,196.5,5.88,4.16,202.2,5.59,4,5.7,-0.29,-0.16,56,0,73.64,85.55
42654.00,202.2,5.59,4,207.9,5.15,3.68,5.7,-0.44,-0.32,37.75,1.2,80.36,76.7
42626.00,158.1,8.87,8.08,173.7,6.13,4.97,15.6,-2.74,-3.11,23.4,9,76.57,130.4
42633.00,173.7,6.13,4.97,201.1,6.08,4.38,27.4,-0.05,-0.59,55.9,0.4,68.57,122.6
42640.00,201.1,6.08,4.38,207.9,5.68,3.95,6.8,-0.4,-0.43,40.1,6.2,76.14,110.65
42647.00,207.9,5.68,3.95,220.6,5.54,3.77,12.7,-0.14,-0.18,45.8,0,71.36,86.45
42654.00,220.6,5.54,3.77,226.4,5.24,3.88,5.8,-0.3,0.11,32.8,3.8,78.71,79.8
42626.00,155.9,7.01,5.71,169.3,5.44,4.4,13.4,-1.57,-1.31,51,37.8,77.64,128.75
42633.00,169.3,5.44,4.4,191.9,5.59,3.78,22.6,0.15,-0.62,61,0.2,69.43,122.1
42640.00,191.9,5.59,3.78,201.1,5,3.44,9.2,-0.59,-0.34,55,10,77.29,110.25
42647.00,201.1,5,3.44,217.2,5.19,3.86,16.1,0.19,0.42,59,0,70.86,87.85
42627.00,153,8.75,8.5,160,7,6.1,7,-1.75,-2.4,21.3,35.2,79.64,112.05
42634.00,160,7,6.1,180,6.5,4.8,20,-0.5,-1.3,56.4,0.4,65.43,117.6
42641.00,180,6.5,4.8,197,5.75,3.7,17,-0.75,-1.1,41.7,14,74.5,104.55
42648.00,197,5.75,3.7,215,5.75,3.8,18,0,0.1,45.3,0.4,71.86,75.65
42655.00,215,5.75,3.8,213,5.45,3.6,-2,-0.3,-0.2,31.2,2.8,78.86,79.55
42626.00,153.7,8.38,8.14,170.4,6.96,5.93,16.7,-1.42,-2.21,51.5,23.2,75,131.45
42633.00,170.4,6.96,5.93,189.7,6.86,5.55,19.3,-0.1,-0.38,62.5,0.4,68.43,129.4
42640.00,189.7,6.86,5.55,205.7,6.27,4.73,16,-0.59,-0.82,55.5,5.8,75.71,116.05
42647.00,205.7,6.27,4.73,216,6.03,4.46,10.3,-0.24,-0.27,53.25,0.2,71.5,91.75
42654.00,216,6.03,4.46,219.5,5.83,4.68,3.5,-0.2,0.22,39.25,3.4,78.36,84.45
42627.00,172,7.15,6.2,185,5.65,4,13,-1.5,-2.2,21.3,18.7,79.64,116.5
42634.00,185,5.65,4,194,5.8,3.9,9,0.15,-0.1,56.4,0,65.43,121.25
42641.00,194,5.8,3.9,209,5.05,2.8,15,-0.75,-1.1,41.7,12.7,74.5,106.45
42648.00,209,5.05,2.8,222,5.65,3.4,13,0.6,0.6,45.3,0,71.86,79.7
42626.00,144.8,8.28,6.89,158.1,6.76,4.97,13.3,-1.52,-1.92,23.1,19.2,76.29,128.1
42633.00,158.1,6.76,4.97,180.5,6.47,4.45,22.4,-0.29,-0.52,50.6,0.4,71.29,121.8
42640.00,180.5,6.47,4.45,189.7,5.73,3.77,9.2,-0.74,-0.68,36.3,10.8,78.43,112.15
42647.00,189.7,5.73,3.77,203.3,5.49,3.58,13.6,-0.24,-0.19,38.8,0,72.57,87.75
42654.00,203.3,5.49,3.58,203.3,5.39,3.65,0,-0.1,0.07,24.6,2.2,79.43,82.5
42627.00,141,10.8,11.8,149,9.35,8.6,8,-1.45,-3.2,21.3,18.7,79.64,116.5
42634.00,149,9.35,8.6,177,7.45,6.8,28,-1.9,-1.8,56.4,0,65.43,121.25
42641.00,177,7.45,6.8,199,7.25,5.4,22,-0.2,-1.4,41.7,12.7,74.5,106.45
42648.00,199,7.25,5.4,195,8,7.4,-4,0.75,2,45.3,0,71.86,79.7
42627.00,151,10.25,10.3,158,8.65,8,7,-1.6,-2.3,21.3,18.7,79.64,116.5
42634.00,158,8.65,8,183,7.05,6.3,25,-1.6,-1.7,56.4,0,65.43,121.25
42641.00,183,7.05,6.3,192,6.4,4.3,9,-0.65,-2,41.7,12.7,74.5,106.45
42648.00,192,6.4,4.3,210,6.75,4.9,18,0.35,0.6,45.3,0,71.86,79.7
